timestamp,hostname,cpu_pct,memory_pct,filesystem_pct,load_avg_5m,swap_pct
2026-08-25 13:50,APP01,52,61,68,0.4,0.2
2026-08-25 13:50,APP02,48,59,65,0.3,0.2
2026-08-25 13:55,APP01,55,62,68,0.4,0.2
2026-08-25 13:55,APP02,50,60,65,0.3,0.2
2026-08-25 14:00,APP01,58,63,69,0.4,0.2
2026-08-25 14:00,APP02,52,61,65,0.3,0.2
2026-08-25 14:05,APP01,61,64,69,0.4,0.2
2026-08-25 14:05,APP02,55,62,66,0.3,0.2
2026-08-25 14:10,APP01,64,65,69,0.4,0.2
2026-08-25 14:10,APP02,57,63,66,0.3,0.2
2026-08-25 14:15,APP01,63,65,69,0.4,0.2
2026-08-25 14:15,APP02,56,63,66,0.3,0.2
2026-08-25 14:20,APP01,60,64,69,0.4,0.2
2026-08-25 14:20,APP02,54,62,66,0.3,0.2
2026-08-25 14:25,APP01,57,63,69,0.4,0.2
2026-08-25 14:25,APP02,52,61,66,0.3,0.2
2026-08-26 09:50,APP01,50,63,69,0.4,0.2
2026-08-26 09:50,APP02,47,61,66,0.3,0.2
2026-08-26 09:55,APP01,52,64,69,0.4,0.2
2026-08-26 09:55,APP02,48,61,66,0.3,0.2
2026-08-26 10:00,APP01,54,64,69,0.4,0.2
2026-08-26 10:00,APP02,50,62,66,0.3,0.2
2026-08-26 10:05,APP01,56,65,69,0.4,0.2
2026-08-26 10:05,APP02,51,62,66,0.3,0.2
2026-08-26 10:10,APP01,58,65,70,0.4,0.2
2026-08-26 10:10,APP02,52,63,66,0.3,0.2
2026-08-26 10:15,APP01,57,65,70,0.4,0.2
2026-08-26 10:15,APP02,52,63,66,0.3,0.2
2026-08-26 10:20,APP01,55,64,70,0.4,0.2
2026-08-26 10:20,APP02,50,62,66,0.3,0.2
2026-08-26 10:25,APP01,52,64,70,0.4,0.2
2026-08-26 10:25,APP02,49,62,66,0.3,0.2
