timestamp,system_id,application,response_time_ms,error_rate_pct,db_connection_pool_pct,thread_pool_pct,request_rate_rps
2026-08-25 13:50,SYS-IB-001,internet-banking,180,0.2,52,48,220
2026-08-25 13:55,SYS-IB-001,internet-banking,190,0.3,61,55,225
2026-08-25 14:00,SYS-IB-001,internet-banking,420,1.8,82,72,230
2026-08-25 14:05,SYS-IB-001,internet-banking,780,4.5,92,84,235
2026-08-25 14:10,SYS-IB-001,internet-banking,1200,8.0,95,90,238
2026-08-25 14:15,SYS-IB-001,internet-banking,1180,7.6,96,91,240
2026-08-25 14:20,SYS-IB-001,internet-banking,950,5.2,91,86,236
2026-08-25 14:25,SYS-IB-001,internet-banking,520,2.1,78,70,232
2026-08-26 09:50,SYS-IB-001,internet-banking,180,0.2,52,48,225
2026-08-26 09:55,SYS-IB-001,internet-banking,190,0.3,55,50,228
2026-08-26 10:00,SYS-IB-001,internet-banking,550,0.8,56,52,230
2026-08-26 10:05,SYS-IB-001,internet-banking,1100,1.3,57,53,232
2026-08-26 10:10,SYS-IB-001,internet-banking,1500,1.9,58,54,235
2026-08-26 10:15,SYS-IB-001,internet-banking,1420,1.8,57,54,237
2026-08-26 10:20,SYS-IB-001,internet-banking,980,1.1,56,52,232
2026-08-26 10:25,SYS-IB-001,internet-banking,420,0.5,55,50,229
