timestamp,cluster,vm_name,esxi_host,cpu_ready_pct,memory_balloon_mb,host_cpu_pct,host_memory_pct
2026-08-25 13:50,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-25 13:50,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-25 13:55,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-25 13:55,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-25 14:00,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-25 14:00,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-25 14:05,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-25 14:05,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-25 14:10,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-25 14:10,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-25 14:15,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-25 14:15,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-25 14:20,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-25 14:20,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-25 14:25,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-25 14:25,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-26 09:50,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-26 09:50,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-26 09:55,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-26 09:55,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-26 10:00,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-26 10:00,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-26 10:05,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-26 10:05,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-26 10:10,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-26 10:10,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-26 10:15,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-26 10:15,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-26 10:20,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-26 10:20,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
2026-08-26 10:25,CLUSTER-DIGITAL,vm-app01,esxi-05,2.1,0,64,55
2026-08-26 10:25,CLUSTER-DIGITAL,vm-app02,esxi-06,1.8,0,61,52
