timestamp,network_zone,device,endpoint,latency_ms,packet_loss_pct,interface_error_pct,link_utilization_pct
2026-08-25 13:50,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-25 13:50,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-25 13:55,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-25 13:55,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-25 14:00,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-25 14:00,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-25 14:05,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-25 14:05,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-25 14:10,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-25 14:10,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-25 14:15,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-25 14:15,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-25 14:20,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-25 14:20,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-25 14:25,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-25 14:25,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-26 09:50,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-26 09:50,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-26 09:55,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-26 09:55,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-26 10:00,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-26 10:00,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-26 10:05,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-26 10:05,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-26 10:10,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-26 10:10,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-26 10:15,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-26 10:15,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-26 10:20,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-26 10:20,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
2026-08-26 10:25,APP-ZONE,leaf-101,APP01,1.1,0.0,0.02,34
2026-08-26 10:25,APP-ZONE,leaf-102,APP02,1.0,0.0,0.01,31
